Webpage_id,Tag
31,others
32,news
33,news
34,news
35,news
37,news
38,news
42,news
45,news
46,news
49,news
50,news
51,news
52,news
55,news
56,news
57,news
58,news
59,news
60,news
66,news
67,news
68,news
69,news
70,others
72,news
75,news
76,news
77,others
78,news
79,news
81,news
82,news
83,news
84,news
85,news
86,news
87,news
91,news
92,news
93,news
95,news
97,news
100,news
104,news
105,news
115,news
117,news
120,news
121,news
125,news
126,news
128,news
129,news
130,news
131,news
132,news
133,news
134,news
135,news
152,news
175,others
176,others
178,others
179,others
180,others
181,others
184,others
185,others
186,others
188,others
189,others
191,others
192,others
193,others
194,others
195,others
196,others
198,others
199,others
201,others
202,others
204,others
205,others
206,others
210,others
211,others
212,others
213,others
214,others
215,others
216,others
217,others
218,others
220,others
221,others
222,others
223,others
225,others
226,others
227,others
228,others
229,others
231,others
232,others
233,others
234,others
235,others
236,others
237,others
238,others
241,others
243,others
244,others
246,others
247,others
248,others
249,others
250,others
251,others
252,others
254,others
256,others
257,others
258,others
259,others
260,others
261,others
262,others
263,others
264,others
265,others
266,others
267,others
268,others
270,others
271,others
274,others
276,others
277,others
278,others
279,others
280,others
282,others
283,others
284,others
285,others
286,others
287,others
288,others
290,others
291,others
292,others
294,others
296,others
298,others
299,others
300,others
301,others
302,others
303,others
304,others
306,others
307,others
308,others
309,others
310,others
311,others
313,others
315,others
317,others
318,others
319,others
320,others
325,others
327,others
328,others
329,others
330,others
331,others
332,others
333,others
335,others
336,others
337,others
338,others
339,others
340,others
342,others
344,others
345,others
346,others
347,others
383,news
385,news
389,news
390,news
391,news
393,news
394,news
396,news
398,news
399,news
400,news
402,news
404,news
405,news
406,news
408,news
409,news
411,news
412,news
413,news
414,news
415,news
416,news
418,news
421,news
431,news
435,others
437,news
438,others
439,others
440,others
443,others
445,others
446,others
447,others
448,others
449,others
450,others
451,others
452,others
453,others
454,news
455,others
457,others
459,others
463,others
464,others
465,others
466,others
468,others
469,others
470,others
472,others
473,others
474,others
476,others
477,others
478,others
480,others
481,others
482,others
483,others
484,news
485,others
487,others
488,others
489,others
490,others
491,others
493,others
495,others
496,others
497,others
498,others
499,others
500,others
502,others
503,others
505,others
506,others
507,others
508,others
509,others
510,others
511,others
512,news
513,news
514,others
515,news
516,others
517,others
519,others
521,others
523,others
524,others
525,others
526,others
527,others
528,others
529,others
530,others
531,others
533,news
534,others
536,others
537,news
538,others
540,others
541,others
542,others
545,news
546,others
547,others
548,others
549,others
550,news
551,others
552,others
553,others
554,others
555,others
556,others
557,others
558,others
559,others
560,others
561,news
575,news
601,news
